tweet_id,retweets,favorites,user_followers,user_favourites,date_time
709198395643068416,686,2544,7433367,139181,2016-03-14 02:04:08
709179584944730112,722,2122,7433367,139181,2016-03-14 00:49:23
709158332880297985,450,2151,7433367,139181,2016-03-13 23:24:56
709042156699303936,1757,5003,7433367,139181,2016-03-13 15:43:18
708853462201716736,704,1892,7433367,139181,2016-03-13 03:13:29
708845821941387268,958,3132,7433958,139180,2016-03-13 02:43:08
708834316713893888,540,1787,7433367,139181,2016-03-13 01:57:25
708810915978854401,7454,17346,7433958,139180,2016-03-13 00:24:26
708738143638450176,873,2884,7433367,139181,2016-03-12 19:35:15
708711088997666817,782,2683,7433958,139180,2016-03-12 17:47:45
708479650088034305,722,2682,7433367,139181,2016-03-12 02:28:06
708469915515297792,880,3246,7433367,139181,2016-03-12 01:49:25
708400866336894977,10848,16846,7433958,139180,2016-03-11 21:15:02
708356463048204288,1434,3802,7433367,139181,2016-03-11 18:18:36
708349470027751425,790,2476,7433958,139180,2016-03-11 17:50:48
708149363256774660,1653,4498,7433367,139181,2016-03-11 04:35:39
708130923141795840,896,3563,7433367,139181,2016-03-11 03:22:23
708119489313951744,1049,2826,7433367,139181,2016-03-11 02:36:57
708109389455101952,579,2030,7433367,139181,2016-03-11 01:56:49
708026248782585858,2052,4597,7433958,139180,2016-03-10 20:26:26
707995814724026368,1206,3287,7433958,139180,2016-03-10 18:25:30
707983188426153984,2,51,7433367,139181,2016-03-10 17:35:20
707969809498152960,1039,2841,7433367,139181,2016-03-10 16:42:10
707776935007539200,1015,3450,7433958,139180,2016-03-10 03:55:45
707741517457260545,654,2627,7433367,139181,2016-03-10 01:35:01
707738799544082433,2645,4310,7433958,139180,2016-03-10 01:24:13
707693576495472641,1074,3623,7433367,139181,2016-03-09 22:24:31
707629649552134146,941,2717,7433958,139180,2016-03-09 18:10:30
707610948723478529,6874,17853,7433958,139180,2016-03-09 16:56:11
707420581654872064,740,2395,7433367,139181,2016-03-09 04:19:44
707411934438625280,642,2402,7433367,139181,2016-03-09 03:45:22
707387676719185920,1397,3693,7433367,139181,2016-03-09 02:08:59
707377100785885184,1158,3460,7433368,139181,2016-03-09 01:26:57
707315916783140866,687,2606,7433959,139180,2016-03-08 21:23:50
707297311098011648,853,2911,7433368,139181,2016-03-08 20:09:54
707059547140169728,727,2710,7433368,139181,2016-03-08 04:25:07
707038192327901184,852,2317,7433959,139180,2016-03-08 03:00:15
707021089608753152,1469,4284,7433959,139180,2016-03-08 01:52:18
707014260413456384,643,2430,7433959,139180,2016-03-08 01:25:10
706904523814649856,8409,15350,7433959,139180,2016-03-07 18:09:06
706901761596989440,642,2181,7433959,139180,2016-03-07 17:58:08
706681918348251136,1038,3501,7433368,139181,2016-03-07 03:24:33
706644897839910912,1176,2721,7433959,139180,2016-03-07 00:57:27
706593038911545345,670,2275,7433959,139180,2016-03-06 21:31:22
706538006853918722,1515,3648,7433368,139181,2016-03-06 17:52:42
706516534877929472,1110,3265,7433368,139181,2016-03-06 16:27:23
706346369204748288,990,3632,7433368,139181,2016-03-06 05:11:12
706310011488698368,8575,22577,7433960,139180,2016-03-06 02:46:44
706291001778950144,500,1794,7433960,139180,2016-03-06 01:31:11
706265994973601792,983,2877,7433960,139180,2016-03-05 23:51:49
706169069255446529,2384,4115,7433369,139181,2016-03-05 17:26:40
706166467411222528,1726,5425,7433369,139181,2016-03-05 17:16:20
706153300320784384,414,1573,7433369,139181,2016-03-05 16:24:01
705975130514706432,791,3267,7433369,139181,2016-03-05 04:36:02
705970349788291072,956,3306,7433369,139181,2016-03-05 04:17:02
705898680587526145,598,2506,7433960,139180,2016-03-04 23:32:15
705786532653883392,566,2054,7433369,139181,2016-03-04 16:06:36
705591895322394625,1233,3344,7433369,139181,2016-03-04 03:13:11
705475953783398401,993,3119,7433960,139180,2016-03-03 19:32:29
705442520700944385,1765,4691,7433960,139180,2016-03-03 17:19:38
705428427625635840,1814,4031,7433369,139181,2016-03-03 16:23:38
705239209544720384,808,3161,7433369,139181,2016-03-03 03:51:44
705223444686888960,866,2729,7433369,139181,2016-03-03 02:49:06
705102439679201280,548,2269,7433369,139181,2016-03-02 18:48:16
705066031337840642,649,2292,7433369,139181,2016-03-02 16:23:36
704871453724954624,1193,4502,7433960,139180,2016-03-02 03:30:25
704859558691414016,586,2383,7433369,139181,2016-03-02 02:43:09
704847917308362754,1643,5391,7433369,139181,2016-03-02 01:56:53
704819833553219584,1073,2781,7433960,139180,2016-03-02 00:05:17
704761120771465216,3113,6996,7433369,139181,2016-03-01 20:11:59
704499785726889984,1073,3101,7433369,139181,2016-03-01 02:53:32
704491224099647488,89,809,7433369,139181,2016-03-01 02:19:31
704480331685040129,1136,3584,7433369,139181,2016-03-01 01:36:14
704364645503647744,3817,8470,7433369,139181,2016-02-29 17:56:32
704347321748819968,376,1677,7433369,139181,2016-02-29 16:47:42
704134088924532736,502,1596,7433369,139181,2016-02-29 02:40:23
704113298707505153,606,1965,7433960,139180,2016-02-29 01:17:46
704054845121142784,984,3078,7433369,139181,2016-02-28 21:25:30
703774238772166656,500,1949,7433369,139181,2016-02-28 02:50:28
703769065844768768,1219,3472,7433369,139181,2016-02-28 02:29:55
703631701117943808,743,2738,7433369,139181,2016-02-27 17:24:05
703611486317502464,1629,4072,7433960,139180,2016-02-27 16:03:45
703425003149250560,1481,4009,7433960,139180,2016-02-27 03:42:44
703407252292673536,750,2594,7433369,139181,2016-02-27 02:32:12
703382836347330562,1226,3699,7433960,139180,2016-02-27 00:55:11
703356393781329922,416,2019,7433960,139180,2016-02-26 23:10:06
703268521220972544,586,2079,7433369,139181,2016-02-26 17:20:56
703079050210877440,3329,7787,7433369,139181,2016-02-26 04:48:02
703041949650034688,13463,27823,7433369,139181,2016-02-26 02:20:37
702932127499816960,775,2735,7433369,139181,2016-02-25 19:04:13
702899151802126337,483,1702,7433960,139180,2016-02-25 16:53:11
702684942141153280,1159,3398,7433369,139181,2016-02-25 02:42:00
702671118226825216,602,2316,7433369,139181,2016-02-25 01:47:04
702598099714314240,3512,10913,7433960,139180,2016-02-24 20:56:55
702539513671897089,1026,3032,7433960,139180,2016-02-24 17:04:07
702332542343577600,1668,3369,7433369,139181,2016-02-24 03:21:41
702321140488925184,1106,3462,7433369,139181,2016-02-24 02:36:23
702276748847800320,819,2614,7433369,139181,2016-02-23 23:39:59
702217446468493312,1439,5072,7433960,139180,2016-02-23 19:44:20
701981390485725185,1064,3636,7433369,139181,2016-02-23 04:06:20
701952816642965504,1099,4023,7433369,139181,2016-02-23 02:12:47
701889187134500865,1473,3758,7433369,139181,2016-02-22 21:59:57
701805642395348998,1822,3622,7433369,139181,2016-02-22 16:27:58
701601587219795968,491,2205,7433369,139181,2016-02-22 02:57:08
701570477911896070,1003,2979,7433369,139181,2016-02-22 00:53:31
701545186879471618,659,2809,7433960,139180,2016-02-21 23:13:01
701214700881756160,5495,12892,7433369,139181,2016-02-21 01:19:47
700890391244103680,617,2340,7433369,139181,2016-02-20 03:51:05
700864154249383937,660,2733,7433960,139180,2016-02-20 02:06:50
700847567345688576,537,2565,7433369,139181,2016-02-20 01:00:55
700796979434098688,1032,2570,7433369,139181,2016-02-19 21:39:54
700747788515020802,10056,24083,7433960,139180,2016-02-19 18:24:26
700518061187723268,859,2788,7433369,139181,2016-02-19 03:11:35
700505138482569216,615,2405,7433369,139181,2016-02-19 02:20:14
700462010979500032,1935,4372,7433369,139181,2016-02-18 23:28:52
700167517596164096,800,2799,7433960,139180,2016-02-18 03:58:39
700151421916807169,710,2365,7433369,139181,2016-02-18 02:54:41
700143752053182464,2954,7946,7433370,139181,2016-02-18 02:24:13
700062718104104960,746,2791,7433370,139181,2016-02-17 21:02:13
700029284593901568,628,2186,7433370,139181,2016-02-17 18:49:22
700002074055016451,1446,3496,7433961,139180,2016-02-17 17:01:14
699801817392291840,1031,3224,7433370,139181,2016-02-17 03:45:29
699788877217865730,533,2371,7433370,139181,2016-02-17 02:54:04
699779630832685056,1331,2929,7433370,139181,2016-02-17 02:17:19
699775878809702401,652,2071,7433370,139181,2016-02-17 02:02:25
699691744225525762,4928,10828,7433370,139181,2016-02-16 20:28:06
699446877801091073,2807,6260,7433370,139181,2016-02-16 04:15:05
699434518667751424,546,2287,7433370,139181,2016-02-16 03:25:58
699423671849451520,354,1449,7433370,139181,2016-02-16 02:42:52
699413908797464576,664,2183,7433370,139181,2016-02-16 02:04:04
699370870310113280,472,1986,7433370,139181,2016-02-15 23:13:03
699323444782047232,925,3332,7433370,139181,2016-02-15 20:04:36
699088579889332224,675,2362,7433370,139181,2016-02-15 04:31:20
699079609774645248,705,2583,7433370,139181,2016-02-15 03:55:41
699072405256409088,1271,3169,7433370,139181,2016-02-15 03:27:04
699060279947165696,1940,3988,7433961,139180,2016-02-15 02:38:53
699036661657767936,1284,2754,7433370,139181,2016-02-15 01:05:02
698989035503689728,1060,3568,7433370,139181,2016-02-14 21:55:47
698953797952008193,971,2858,7433370,139181,2016-02-14 19:35:46
698907974262222848,666,2681,7433370,139181,2016-02-14 16:33:40
698710712454139905,733,2613,7433370,139181,2016-02-14 03:29:49
698703483621523456,406,1530,7433370,139181,2016-02-14 03:01:06
698635131305795584,366,1357,7433370,139181,2016-02-13 22:29:29
698549713696649216,662,2448,7433961,139180,2016-02-13 16:50:04
698355670425473025,486,1976,7433961,139180,2016-02-13 03:59:01
698342080612007937,1018,2388,7433370,139181,2016-02-13 03:05:01
698262614669991936,2159,5011,7433961,139180,2016-02-12 21:49:15
698195409219559425,6400,17689,7433370,139181,2016-02-12 17:22:12
698178924120031232,791,2954,7433370,139181,2016-02-12 16:16:41
697995514407682048,359,1613,7433370,139181,2016-02-12 04:07:53
697990423684476929,1388,3473,7433370,139181,2016-02-12 03:47:39
697943111201378304,742,2537,7433370,139181,2016-02-12 00:39:39
697881462549430272,1275,3183,7433370,139181,2016-02-11 20:34:41
697630435728322560,578,1849,7433370,139181,2016-02-11 03:57:11
697616773278015490,1084,3343,7433370,139181,2016-02-11 03:02:54
697596423848730625,1353,3207,7433370,139181,2016-02-11 01:42:02
697575480820686848,540,2157,7433370,139181,2016-02-11 00:18:49
697516214579523584,1216,2189,7433961,139180,2016-02-10 20:23:19
697482927769255936,724,2554,7433370,139181,2016-02-10 18:11:03
697463031882764288,1477,3604,7433370,139181,2016-02-10 16:51:59
697270446429966336,1996,4933,7433961,139180,2016-02-10 04:06:43
697259378236399616,1069,3465,7433370,139181,2016-02-10 03:22:44
697255105972801536,1244,3182,7433961,139180,2016-02-10 03:05:46
697242256848379904,713,2659,7433370,139181,2016-02-10 02:14:42
696900204696625153,1102,3368,7433961,139180,2016-02-09 03:35:31
696894894812565505,730,2477,7433370,139181,2016-02-09 03:14:25
696886256886657024,1923,5101,7433370,139181,2016-02-09 02:40:05
696877980375769088,763,2576,7433370,139181,2016-02-09 02:07:12
696754882863349760,384,1555,7433961,139180,2016-02-08 17:58:03
